abs_index,no of objs,selected_dist,selected_angle,gt_beams,pred_dist_5,pred_angle_5,pred_dist_angle_5
2863,"[4, 5, 5, 5, 5, 5]","[0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765]","[75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228]","[162, 163, 162, 163, 163, 162]",0.44169493507170765,75.10432923746228,"[0.44169493507170765, 75.10432923746228]"
2864,"[5, 5, 5, 5, 5, 4]","[0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765]","[75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228]","[163, 162, 163, 163, 162, 162]",0.44169493507170765,75.10432923746228,"[0.44169493507170765, 75.10432923746228]"
2865,"[5, 5, 5, 5, 4, 5]","[0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.441828891934423]","[75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.03916236786962]","[162, 163, 163, 162, 162, 162]",0.441828891934423,75.03916236786962,"[0.441828891934423, 75.03916236786962]"
2866,"[5, 5, 5, 4, 5, 5]","[0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.441828891934423, 0.441828891934423]","[75.10432923746228, 75.10432923746228, 75.10432923746228, 75.10432923746228, 75.03916236786962, 75.03916236786962]","[163, 163, 162, 162, 162, 163]",0.441828891934423,75.03916236786962,"[0.441828891934423, 75.03916236786962]"
2867,"[5, 5, 4, 5, 5, 5]","[0.44169493507170765, 0.44169493507170765, 0.44169493507170765, 0.441828891934423, 0.441828891934423, 0.44196367926900965]","[75.10432923746228, 75.10432923746228, 75.10432923746228, 75.03916236786962, 75.03916236786962, 74.9739098794621]","[163, 162, 162, 162, 163, 162]",0.44196367926900965,74.9739098794621,"[0.44196367926900965, 74.9739098794621]"
2868,"[5, 4, 5, 5, 5, 5]","[0.44169493507170765, 0.44169493507170765, 0.441828891934423, 0.441828891934423, 0.44196367926900965, 0.442371476499107]","[75.10432923746228, 75.10432923746228, 75.03916236786962, 75.03916236786962, 74.9739098794621, 74.77839218063741]","[162, 162, 162, 163, 162, 162]",0.442371476499107,74.77839218063741,"[0.442371476499107, 74.77839218063741]"
2869,"[4, 5, 5, 5, 5, 5]","[0.44169493507170765, 0.441828891934423, 0.441828891934423, 0.44196367926900965, 0.442371476499107, 0.4420990394922839]","[75.10432923746228, 75.03916236786962, 75.03916236786962, 74.9739098794621, 74.77839218063741, 74.90869726403875]","[162, 162, 163, 162, 162, 163]",0.4420990394922839,74.90869726403875,"[0.4420990394922839, 74.90869726403875]"
2870,"[5, 5, 5, 5, 5, 4]","[0.441828891934423, 0.441828891934423, 0.44196367926900965, 0.442371476499107, 0.4420990394922839, 0.4420990394922839]","[75.03916236786962, 75.03916236786962, 74.9739098794621, 74.77839218063741, 74.90869726403875, 74.90869726403875]","[162, 163, 162, 162, 163, 162]",0.4420990394922839,74.90869726403875,"[0.4420990394922839, 74.90869726403875]"
2871,"[5, 5, 5, 5, 4, 4]","[0.441828891934423, 0.44196367926900965, 0.442371476499107, 0.4420990394922839, 0.4420990394922839, 0.44169493507170765]","[75.03916236786962, 74.9739098794621, 74.77839218063741, 74.90869726403875, 74.90869726403875, 75.10432923746228]","[163, 162, 162, 163, 162, 162]",0.44169493507170765,75.10432923746228,"[0.44169493507170765, 75.10432923746228]"
2872,"[5, 5, 5, 4, 4, 4]","[0.44196367926900965, 0.442371476499107, 0.4420990394922839, 0.4420990394922839, 0.44169493507170765, 0.4427235673961801]","[74.9739098794621, 74.77839218063741, 74.90869726403875, 74.90869726403875, 75.10432923746228, 75.07010005688096]","[162, 162, 163, 162, 162, 162]",0.4427235673961801,75.07010005688096,"[0.4427235673961801, 75.07010005688096]"
